mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_beta_params,param_n_components,param_scale,param_spectral_radius,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
77.72330236434937,26.905949949877684,0.02558167775472005,0.0018221725866688755,"(0, 0.01)",16,1.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.6}",-0.0064771682595832535,-0.022205443950828328,-0.011721394465523572,-0.013468002225311719,0.0065387380563768725,38
66.23616043726604,25.238981410594214,0.025614182154337566,0.00055031351116058,"(0, 0.01)",16,1.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.9}",-0.006719753702006576,-0.022098877466310552,-0.012207629919173787,-0.01367542036249697,0.006363707961483775,42
82.51611304283142,35.209195573452185,0.025324344635009766,0.001630395535101611,"(0, 0.01)",16,10.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.3}",-0.007135929564308256,-0.022711385053033446,-0.012337050744256842,-0.014061455120532848,0.006474508025582834,52
80.01942467689514,45.77993627359554,0.023755391438802082,0.0008178512645245357,"(0, 0.01)",16,10.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.6}",-0.0064956103623072525,-0.02171927504942353,-0.011665416469165784,-0.013293433960298856,0.006320750078907524,30
54.902186155319214,16.07067173412692,0.024530410766601562,0.000216399328868381,"(0, 0.01)",16,10.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.9}",-0.006667515382242828,-0.02194181570194008,-0.012192962800844915,-0.013600764628342607,0.0063146650506687085,39
98.15842366218567,33.33878856745118,0.02367226282755534,0.0006178455542123811,"(0, 0.01)",128,0.01,0.3,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 0.01, 'spectral_radius': 0.3}",-0.0072194973045579145,-0.02265377748557309,-0.012163167218841349,-0.014012147336324117,0.006435230986926804,47
103.48288790384929,30.2434211870177,0.024624109268188477,0.001331064998192646,"(0, 0.01)",128,0.01,0.6,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 0.01, 'spectral_radius': 0.6}",-0.0064472271830771965,-0.0219877376099236,-0.011700673685909239,-0.013378546159636679,0.006454368448851762,35
136.71754924456278,66.97895144602988,0.02360224723815918,0.0004116257008551007,"(0, 0.01)",128,0.01,0.9,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 0.01, 'spectral_radius': 0.9}",-0.00602685259436948,-0.021852311836603522,-0.012014467583207976,-0.013297877338060324,0.00652414211504932,31
91.3587752978007,37.04081710483093,0.023624102274576824,0.0003847285652670194,"(0, 0.01)",128,1.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 1.0, 'spectral_radius': 0.3}",-0.0072472322137835075,-0.02281459098182532,-0.01232141309131885,-0.014127745428975894,0.0064824271246080485,57
110.71746730804443,48.917011798556096,0.02368466059366862,0.00021410150652419101,"(0, 0.01)",128,1.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 1.0, 'spectral_radius': 0.6}",-0.006566487751296086,-0.02190084622732409,-0.01168198011552581,-0.013383104698048662,0.0063747421438978295,36
124.1614499092102,61.770417753449166,0.02425384521484375,0.0003977808517390363,"(0, 0.01)",128,1.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 1.0, 'spectral_radius': 0.9}",-0.005995863795914174,-0.02186389322000929,-0.012162499297962865,-0.013340752104628775,0.006531452069705949,33
98.43653130531311,33.62988896470341,0.023600339889526367,0.00021071814746327744,"(0, 0.01)",128,10.0,0.3,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 10.0, 'spectral_radius': 0.3}",-0.007194211478355967,-0.022833270551029662,-0.01233449899350363,-0.014120660340963084,0.006508344461228882,55
108.47101895014445,33.041689118472185,0.023727814356486004,0.00019480615230427854,"(0, 0.01)",128,10.0,0.6,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 10.0, 'spectral_radius': 0.6}",-0.006457479932516203,-0.021832500271138398,-0.011698170118374611,-0.013329383440676404,0.006381925272747646,32
132.3704776763916,62.156395624643494,0.024370988210042317,0.0006680631628478398,"(0, 0.01)",128,10.0,0.9,"{'beta_params': (0, 0.01), 'n_components': 128, 'scale': 10.0, 'spectral_radius': 0.9}",-0.006034238832761948,-0.021901331199693362,-0.012088637418485981,-0.013341402483647097,0.006538002767234522,34
